T.cells	NK.cells	B.cells	Plasma.cells	pDCs	Myeloid.cells	Endothelial.cells	Fibroblasts	Schwann	Adrenocortical.cells	NE.1	NE.2	NE.3	NE.4	NE.5	NE.6	NE.7	NE.8	NE.9	NE.10	NE.11	NE.12	NE.13	NE.14	NE.15
SJBALL031914_D1	0.0301327000403365	1.35055530635473e-20	0.407575783143962	1.9144952033263e-06	0.0248165164487338	0.000379694525330661	0.164937966398953	1.33699230777958e-20	0.00572238716248946	0.0334043656377535	-5.44086909513657e-17	0.306938991753843	-4.8478736154147e-17	4.12969479449543e-18	0.000108414621668261	-3.43993103591448e-18	0.000122771642470586	-9.60208095630181e-18	0.0258584941292564	-4.95530750179405e-18	-1.46727059360983e-18	2.3128783596624e-18	6.5028090830409e-18	1.25896240411161e-18	-1.40367841195882e-18
SJBALL031914_D2	0.00251115582758746	-3.49336915169619e-19	0.00086295257356665	7.13971520576026e-22	2.56398343620677e-05	0.000213316215939273	0.0414733672862782	-3.12188161287709e-19	0.0123140319939493	0.00567012590429883	-1.51318363546877e-17	0.515958073798567	-3.28750256135464e-17	0.0101457618411174	0.000986967433840811	4.36224155264543e-19	0.103515940865895	-8.34520177991679e-18	0.044027092945633	0.136910720939566	0.125384852539399	-1.72098159976086e-19	-1.18176618363377e-18	5.45110726686791e-18	-9.20796095199211e-19
SJBALL031914_D3	1.98413360142142e-19	-4.08080736094879e-19	-2.56668897464313e-19	4.77626071950647e-21	2.37891172091044e-06	3.12019133912827e-19	0.0441214592837161	0.0303669622185282	0.0451802069421172	0.00819643090628027	-7.46988969967351e-18	0.553009855324256	1.78048411649359e-17	0.000640316327867921	0.000976477399979192	0.000166359720881904	0.0319004882053739	5.94256410002126e-18	0.000427391850057836	0.200141252592118	0.0848704203171033	6.70072657059901e-18	-1.57023395160252e-17	-7.3705224097073e-18	-1.48041153769628e-18
SJNBL030002_D1	-1.26413197211704e-20	-2.51850979231539e-19	2.52766272000959e-20	-3.34452155275799e-21	5.77842144114039e-06	0.00163449594715017	0.0791802365409298	0.0484119843462081	0.0650006039272828	0.441384134644392	-5.32807392295409e-18	0.242887602300417	-1.8866373660017e-17	0.00592803300833869	0.000633935179145347	0.000148678639384749	0.0312449943643987	-6.28973198271688e-20	0.0434010591448483	0.0401211572433124	1.73062927508433e-05	1.19796946305449e-19	-1.34016847735055e-18	-4.41449097442913e-19	1.07127148640634e-17
SJNBL030003_D1	0.00303311101611484	1.51063147320081e-19	0.00043706869341981	4.15983253494939e-22	0.00348300375114548	0.0168469476238335	0.0555443709379198	0.0524331169903096	0.0562910676439833	0.0316216494464778	1.46091902514456e-17	0.246569524686137	-2.07336716039824e-18	0.000223799111298945	0.000495435351345676	0.151656195904976	0.0230759501389495	-6.98045614633115e-18	0.000243632828475512	0.273892933934524	0.08415219194109	8.34633190517252e-18	-1.64251343177034e-19	-4.65218788624758e-19	-2.44670991608232e-19
SJNBL030014_D1	-1.80437057191417e-19	-2.78653961842276e-19	1.43844553981133e-19	9.83612921929339e-21	0.000309018311086801	0.0135721881665612	0.0747697204697946	0.0429577000531391	0.0592797245877556	0.0287058672589613	6.64472089570846e-18	0.317989467735133	2.69219932302073e-17	0.00061503943946148	0.000961918818755604	0.010375914129016	0.0563715581359392	3.05599039495448e-17	0.000746004358528984	0.248474583893502	0.144871294642365	5.20807420019815e-18	6.33544803145962e-18	-5.89262242024014e-19	-6.07440596843259e-18
SJNBL030096_D1	1.66210361084393e-06	6.55882964931087e-20	0.00323904536343737	6.93056946041201e-07	0.00176512617663081	0.00924445030220468	0.0776778613461584	0.0306909470497041	0.0493130034665216	0.0244043629977922	-5.28811317237526e-18	0.521613967212695	-4.22614510200959e-18	0.000446038826885985	0.0011085542764653	0.0403060569441134	0.00424881453927507	1.51682174356303e-19	0.000686852506124371	0.229794825751069	7.28557371460234e-19	2.22823732332751e-19	-8.37101835004928e-19	0.00545773808036622	9.66185822342265e-19
SJNBL030107_D1	1.25356674243533e-19	-1.80093180221255e-19	1.99062185395181e-19	-2.05536487971845e-20	1.18050041377137e-19	1.28455819917574e-19	0.0567985484221383	0.0240216207383114	0.0157606806772969	0.00642318255836231	-1.09493765523552e-18	0.5612041264078	9.77014666785043e-18	0.0798867208394885	0.0258219325604336	2.02529236695669e-18	0.067530773218256	-1.82997965816546e-17	0.0464165485463658	0.0199170460326992	5.99615338113823e-18	0.0911300749352259	-1.29717414559439e-18	0.00508874506362147	1.32879968107719e-17
SJNBL030147_D1	0.0284153763712218	-7.21740553570545e-20	0.0182582243978582	2.83785974253051e-06	0.000194213454259315	0.0223567691414467	0.0607913173230929	0.0515465756429106	0.0803589107399206	0.0286124837616478	3.13382971014367e-18	0.466013157275359	-6.91056367003257e-18	0.0244872605384058	0.000658466513542021	3.33967876090148e-19	0.0689671114556982	4.81719762420438e-18	0.000518117834205646	0.103729047698919	0.0450901299917693	-8.28414354787864e-18	-4.86915560945834e-18	2.80063043336751e-18	-3.35483915667152e-18
SJNBL030152_D1	0.00039648632983262	-4.02359240284426e-20	9.52200209966191e-20	4.50093810526199e-21	0.000616459049741216	0.00450106751232416	0.0633749026019287	0.0324250747887898	0.0524139816853938	0.00217244464663419	4.59229972749774e-18	0.364063742023515	4.39730785712784e-18	0.0704993155980147	0.000462769095775887	0.0618794514970665	0.0147715731659099	2.5810572755396e-18	0.0602174231176292	0.259403709104888	0.012801599782556	-5.43319358170119e-18	9.07545989143703e-18	2.422490269234e-19	2.91173882451682e-19
