p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
1.3900891721628365e-166,3.041007564326119,0.287,0.065,5.817523185501471e-162,0,LY6H
6.170750699381297e-42,3.0195695383480756,0.234,0.113,2.582459167691073e-37,0,NYAP2
2.125685073014013e-71,2.8501913128669716,0.345,0.166,8.895992030563645e-67,0,NEFL
2.820502621890924e-74,2.4544558135227392,0.292,0.118,1.1803803472613517e-69,0,SIX3
2.970398073112524e-39,2.0469382920488193,0.318,0.188,1.2431115935975914e-34,0,NEFM
4.049186527508394e-254,5.062177934523629,0.127,0.007,1.694584561762263e-249,1,CD40LG
0,4.524369300389711,0.301,0.026,0,1,TRAT1
0,4.4899976843062666,0.272,0.023,0,1,ICOS
0,4.47529173081307,0.247,0.023,0,1,GZMK
0,4.409558355486441,0.704,0.069,0,1,TRAC
0,4.368290777746694,0.223,0.018,0,1,GPR171
0,4.365228936140186,0.523,0.058,0,1,IL7R
0,4.339144520325272,0.24,0.022,0,1,CD6
8.369524619061945e-142,4.1715162568945505,0.114,0.012,3.5026460530774236e-137,1,CD28
3.927866967104293e-228,4.115677365677515,0.179,0.019,1.6438123257331466e-223,1,TRGC2
4.8603758910150025e-224,4.112848812918406,0.18,0.019,2.0340673103897784e-219,1,CD5
2.868050997946257e-129,4.092947144748492,0.114,0.013,1.2002793426405085e-124,1,GBP5
0,4.071625135709265,0.372,0.045,0,1,CD27
0,4.05543971775849,0.573,0.06,0,1,CD2
1.282810597276405e-242,3.974492321378148,0.194,0.021,5.3685623496017547e-238,1,ITK
3.851889551192928e-128,3.9425143112916134,0.137,0.02,1.6120157771742406e-123,1,PRKCQ-AS1
0,3.9077947352882116,0.525,0.095,0,1,CCL5
0,3.8957311861519557,0.381,0.037,0,1,GZMM
1.3058875771665775e-150,3.8799777983215784,0.131,0.015,5.465139510442127e-146,1,IFNG
3.0252234099122113e-288,3.876684426585477,0.21,0.02,1.2660559970482604e-283,1,TC2N
4.2802759033529323e-160,3.871748050874798,0.117,0.011,1.7912954655532021e-155,1,ZNF831
2.419424723313148e-222,3.8360199126690473,0.19,0.022,1.0125292467065524e-217,1,GZMH
0,3.8109777886206206,0.644,0.069,0,1,CD3E
2.9560918337080386e-179,3.733394716098206,0.148,0.016,1.2371244324068142e-174,1,LINC00861
2.309639643965344e-302,3.6883329690337936,0.284,0.037,9.665841909994964e-298,1,GIMAP7
1.3886156506004685e-151,3.668638819342078,0.128,0.014,5.81135649776296e-147,1,THEMIS
2.4915406336343737e-163,3.667304342721547,0.155,0.02,1.0427097551759854e-158,1,RGL4
2.1245072361779132e-178,3.6533544710185972,0.196,0.029,8.891062783404567e-174,1,FLT3LG
2.276515560551313e-201,3.626990987816173,0.236,0.038,9.527217620907244e-197,1,PCED1B-AS1
0,3.5858946430110223,0.809,0.079,0,1,CD3D
0,3.58516791149862,0.495,0.065,0,1,LCK
1.4769864603201911e-121,3.5847696856375224,0.125,0.017,6.1811883364399996e-117,1,LDLRAP1
0,3.576167330144532,0.43,0.062,0,1,ITM2A
5.831351914414167e-169,3.567116498253633,0.174,0.024,2.440420776182329e-164,1,GIMAP1
0,3.542489569460306,0.397,0.045,0,1,GZMA
0,3.5298127791476412,0.507,0.05,0,1,CD3G
7.355547560929863e-273,3.503991672142947,0.28,0.039,3.0782966542491475e-268,1,CCR7
0,3.494856304315389,0.747,0.14,0,1,PTPRC
0,3.487096535657017,0.795,0.126,0,1,IL32
1.9195124030237647e-273,3.4805111596143323,0.38,0.074,8.033159406654455e-269,1,TUBA4A
2.0041241466059134e-216,3.432889937164561,0.225,0.032,8.387259553545748e-212,1,SH2D1A
1.0158537344717955e-191,3.4206666595336777,0.272,0.052,4.251347878764464e-187,1,CD8A
9.20089413309556e-292,3.408828337113852,0.292,0.04,3.850574194700492e-287,1,CD96
3.276004932780372e-89,3.4045923487090324,0.125,0.023,1.3710080643685858e-84,1,BATF
1.2028032289985076e-299,3.367819755892721,0.37,0.065,5.033731513358754e-295,1,SAMSN1
3.870055381454879e-196,3.346243848942663,0.244,0.041,1.619618177138867e-191,1,LAT
0,3.341491736881494,0.724,0.098,0,1,TRBC2
0,3.3181242775294884,0.479,0.082,0,1,PLAAT4
2.8603386488076786e-80,3.292469519915253,0.13,0.027,1.1970517245260134e-75,1,PTGER2
5.2858836221425325e-229,3.2791305072877774,0.266,0.042,2.2121422958666497e-224,1,PTPN22
0,3.2532297590829025,0.443,0.071,0,1,TRBC1
1.3437312365345232e-164,3.2511236377996626,0.173,0.024,5.623515224896979e-160,1,PYHIN1
1.6279710721549947e-237,3.2504161929939572,0.319,0.059,6.813058936968653e-233,1,PTGER4
2.7591014307937138e-260,3.244663684730716,0.284,0.042,1.154683948787169e-255,1,SKAP1
7.324828640864475e-188,3.243752623990751,0.205,0.03,3.065440786201783e-183,1,RNF125
1.2549602865508566e-171,3.2393986204941783,0.232,0.042,5.252008799215335e-167,1,EVI2A
5.703872680880468e-303,3.234869845447257,0.284,0.036,2.387070716948476e-298,1,CD8B
0,3.2302702775268095,0.358,0.052,0,1,CST7
0,3.23024697933668,0.559,0.097,0,1,CYTIP
2.2105949282017034e-291,3.2300890143373775,0.441,0.094,9.251339774524128e-287,1,RGCC
3.024411835627505e-106,3.2192209222239527,0.137,0.023,1.2657163532101109e-101,1,CRYBG1
2.519721692213827e-108,3.2013412103270418,0.14,0.024,1.0545035281914866e-103,1,ITGB7
1.6475367727653998e-199,3.1940412920693335,0.256,0.044,6.894941394023198e-195,1,GIMAP4
0,3.1867573683656802,0.721,0.163,0,1,LTB
1.0055314600610322e-126,3.1332358085854515,0.176,0.032,4.2081491603554197e-122,1,SUSD3
1.9666220763334458e-139,3.129693597104563,0.155,0.023,8.230313389455471e-135,1,P2RY10
0,3.103561334950893,0.534,0.095,0,1,FYB1
1.1868984026253994e-115,3.1000508179423236,0.158,0.028,4.967169814987297e-111,1,ANXA2R
0,3.084726475012708,0.503,0.095,0,1,ACAP1
0,3.0827144076108715,0.628,0.116,0,1,TNFAIP3
1.3507158484601993e-99,3.074752349060983,0.153,0.03,5.652745825805934e-95,1,AC243960.1
0,3.070071153295972,0.444,0.089,0,1,CLEC2D
1.2094414057673826e-121,3.0690398209708865,0.177,0.033,5.061512283136496e-117,1,AC114760.2
2.932606443322066e-146,3.064713833753153,0.222,0.044,1.2272957965302847e-141,1,PBXIP1
1.0053489779528749e-116,3.0497137151103426,0.148,0.024,4.207385472732781e-112,1,RASAL3
3.675962924595848e-257,3.041682455758686,0.326,0.057,1.5383904839433624e-252,1,TBC1D10C
2.735661777976279e-111,3.024297810016562,0.156,0.028,1.1448744540830727e-106,1,ZAP70
3.3019662195712797e-134,3.013683547708726,0.32,0.097,1.3818728628905806e-129,1,PIK3IP1
