p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
0,6.249441523570456,0.133,0.002,0,T cells,LINC02446
0,6.215468128415967,0.111,0.002,0,T cells,CD40LG
0,5.719981160370512,0.7,0.038,0,T cells,TRAC
0,5.427925343716755,0.201,0.007,0,T cells,CD5
0,5.402864570950837,0.24,0.008,0,T cells,CD6
0,5.168308515344217,0.29,0.013,0,T cells,TRAT1
0,5.0379244927795535,0.254,0.011,0,T cells,ICOS
6.892833017494346e-221,4.940096570353653,0.118,0.007,2.8846506178213837e-216,T cells,LYPD3
0,4.908939986489384,0.24,0.015,0,T cells,GZMK
0,4.872052448629484,0.596,0.034,0,T cells,CD2
0,4.807191456170452,0.203,0.009,0,T cells,GPR171
0,4.8006181102861145,0.351,0.027,0,T cells,CD27
4.6624680885410034e-182,4.780477486569708,0.141,0.014,1.9512428950544099e-177,T cells,PRKCQ-AS1
0,4.746927872188699,0.222,0.014,0,T cells,FLT3LG
6.700647730469002e-234,4.715147100357695,0.108,0.005,2.8042210752012774e-229,T cells,CD28
2.184515618282918e-306,4.607439423844966,0.174,0.012,9.142197862514012e-302,T cells,TRGC2
0,4.587283813665652,0.196,0.012,0,T cells,ITK
0,4.545793856864602,0.643,0.04,0,T cells,CD3E
6.664376579400934e-198,4.530176698420176,0.131,0.011,2.7890415984792907e-193,T cells,IFNG
0,4.50141750683003,0.429,0.022,0,T cells,GZMM
0,4.493402140533167,0.532,0.039,0,T cells,IL7R
0,4.487256563101589,0.191,0.014,0,T cells,GZMH
3.822323044440191e-266,4.400331899208644,0.125,0.006,1.59964219409822e-261,T cells,ZNF831
7.548852548875736e-145,4.260141479906057,0.117,0.012,3.1591947917044956e-140,T cells,BATF
4.3030514457498935e-304,4.215482405360884,0.162,0.01,1.8008270300463303e-299,T cells,LINC00861
3.618472418951262e-302,4.187642655760934,0.248,0.027,1.514330707331103e-297,T cells,PCED1B-AS1
0,4.18080884749461,0.5,0.038,0,T cells,LCK
1.0489872295576646e-260,4.146469095309087,0.141,0.009,4.390011555698826e-256,T cells,RGL4
0,4.129922473871644,0.767,0.048,0,T cells,CD3D
0,4.126485570288909,0.55,0.077,0,T cells,CCL5
0,4.107301569892323,0.376,0.031,0,T cells,GZMA
0,4.074779703628751,0.78,0.096,0,T cells,IL32
0,4.05351885304775,0.487,0.025,0,T cells,CD3G
0,4.051266158602571,0.24,0.018,0,T cells,SH2D1A
0,4.041482481687707,0.207,0.013,0,T cells,TC2N
1.3969902936550137e-228,4.006292923104216,0.18,0.018,5.8464043789462325e-224,T cells,GIMAP1
0,4.003026768902561,0.289,0.037,0,T cells,CD8A
1.5594271814470936e-154,4.002614359960207,0.12,0.012,6.526202754356087e-150,T cells,LDLRAP1
0,3.966625568053633,0.289,0.024,0,T cells,GIMAP7
0,3.9559759158567034,0.298,0.019,0,T cells,CD8B
5.455819391154838e-200,3.9210116585737707,0.118,0.008,2.2832604151982994e-195,T cells,TESPA1
0,3.889124048652044,0.238,0.024,0,T cells,LAT
0,3.8674954201274985,0.398,0.054,0,T cells,TUBA4A
0,3.8433672814461945,0.7,0.067,0,T cells,TRBC2
0,3.829415715528861,0.484,0.05,0,T cells,TRBC1
0,3.7569304013141935,0.282,0.029,0,T cells,CCR7
0,3.7375938851108543,0.389,0.041,0,T cells,ITM2A
2.741589230484169e-251,3.7150188537980737,0.179,0.016,1.1473550929576246e-246,T cells,PYHIN1
1.574364437339798e-132,3.6553640835496815,0.136,0.018,6.588715170267054e-128,T cells,PTGER2
0,3.6389895764789317,0.761,0.113,0,T cells,PTPRC
8.766532704710092e-237,3.6252779253004905,0.18,0.018,3.668793936921174e-232,T cells,ZAP70
4.674433804879087e-173,3.618144105248802,0.122,0.011,1.956250547341898e-168,T cells,LINC01871
0,3.588732845153701,0.466,0.061,0,T cells,PLAAT4
0,3.5682557028937794,0.568,0.077,0,T cells,CYTIP
0,3.54251167836445,0.734,0.138,0,T cells,LTB
0,3.5363074291733745,0.538,0.071,0,T cells,FYB1
8.361052827053981e-196,3.535889912715532,0.149,0.015,3.4991006081220913e-191,T cells,GRAP2
0,3.523997391598806,0.248,0.026,0,T cells,SIT1
7.531887957508902e-161,3.522590163226435,0.143,0.017,3.1520951102174753e-156,T cells,SUSD3
2.3836926750744587e-278,3.5167379336740936,0.301,0.045,9.97575384518661e-274,T cells,PTGER4
0,3.465721911203194,0.266,0.026,0,T cells,CD96
1.237547363606758e-245,3.442445575867299,0.235,0.03,5.179135716694282e-241,T cells,STAT4
3.67751998812672e-245,3.419474481105255,0.244,0.032,1.5390421150310325e-240,T cells,PTPN22
0,3.418588626801162,0.45,0.074,0,T cells,RGCC
2.856531832592981e-119,3.3951072109261946,0.119,0.015,1.1954585719401625e-114,T cells,GIMAP2
4.545462159443383e-308,3.378297865127283,0.276,0.033,1.9022759137270558e-303,T cells,DOK2
0,3.3629057172494043,0.372,0.055,0,T cells,SAMSN1
7.345843507821433e-257,3.3398320105498316,0.252,0.033,3.07423550802327e-252,T cells,EVI2A
0,3.336252261915913,0.332,0.043,0,T cells,RUNX3
2.953355432238193e-123,3.3156023021602965,0.134,0.019,1.2359792483916837e-118,T cells,C16orf54
1.9859837777681085e-148,3.306962195077973,0.181,0.029,8.311342109959534e-144,T cells,AC114760.2
1.798081988957034e-237,3.305441461076288,0.376,0.084,7.5249731237851875e-233,T cells,SPOCK2
0,3.3025499124245243,0.5,0.075,0,T cells,ACAP1
7.542390493725684e-162,3.2923180466940996,0.161,0.021,3.156490421624199e-157,T cells,DENND2D
8.58444988105258e-239,3.2869667522751738,0.214,0.025,3.592592275220505e-234,T cells,RNF125
1.2170244008738655e-109,3.282657597241366,0.129,0.02,5.093247117657127e-105,T cells,ARHGAP45
0,3.278193353965211,0.896,0.154,0,T cells,CD52
4.9206690863767054e-241,3.26887345061177,0.239,0.032,2.0593000126486514e-236,T cells,GIMAP4
0,3.25415200008306,0.349,0.044,0,T cells,CST7
0,3.2448211378947596,0.46,0.071,0,T cells,CLEC2D
3.046142792836829e-140,3.241610077644901,0.145,0.02,1.2748107588022129e-135,T cells,ANXA2R
0,3.2385034420689176,0.603,0.093,0,T cells,TNFAIP3
2.5262165080262466e-291,3.228026986311053,0.256,0.029,1.0572216086089842e-286,T cells,SKAP1
0,3.215197343513987,0.419,0.06,0,T cells,IL2RG
0,3.2085151484380603,0.68,0.105,0,T cells,HCST
0,3.198194667616791,0.311,0.039,0,T cells,TBC1D10C
8.148295970042193e-169,3.188274370956508,0.179,0.025,3.4100618634626577e-164,T cells,S1PR4
4.5226180662194564e-161,3.1759018663635072,0.331,0.09,1.8927156607128425e-156,T cells,PIK3IP1
0,3.157335700592421,0.326,0.045,0,T cells,BIN2
3.814037282411976e-248,3.157275347593301,0.282,0.043,1.596174602689412e-243,T cells,SLA
0,3.1512487090120613,0.595,0.071,0,T cells,CD7
1.8769253046151614e-115,3.1459947638729897,0.194,0.041,7.85493239981445e-111,T cells,RCAN3
5.921975167015753e-274,3.1459350157772015,0.323,0.052,2.478346607396093e-269,T cells,CNN2
3.987412049299845e-123,3.142894702049078,0.158,0.026,1.6687319426319851e-118,T cells,DEF6
8.646128776770776e-225,3.1404290995973394,0.18,0.018,3.61840489307857e-220,T cells,SAMD3
9.444539437340193e-284,3.136348005634791,0.299,0.042,3.952539754526871e-279,T cells,TRAF3IP3
0,3.126647632925629,0.508,0.075,0,T cells,RHOH
2.3837524347893335e-117,3.1154315578221454,0.125,0.017,9.976003939593361e-113,T cells,RASAL3
0,3.1087007834186107,0.578,0.109,0,T cells,GYPC
0,3.097619868043775,0.701,0.157,0,T cells,S100A4
0,3.096360991080079,0.51,0.08,0,T cells,CD48
0,3.075601892740397,0.829,0.175,0,T cells,ARHGDIB
6.984670100688383e-132,3.0691385374791382,0.176,0.03,2.923084437138088e-127,T cells,MFNG
0,3.064383031535449,0.484,0.101,0,T cells,ANXA1
6.227514098648649e-149,3.059732591359142,0.135,0.016,2.60621465028446e-144,T cells,P2RY10
1.8146387626442272e-100,3.058452516285483,0.156,0.031,7.59426322166609e-96,T cells,CASP8
1.364101108072865e-175,3.058206368396347,0.229,0.039,5.7087631372849405e-171,T cells,IL27RA
2.6534356775811544e-271,3.0518006266748694,0.284,0.04,1.110462831067713e-266,T cells,IFITM1
1.920671925570324e-290,3.048647990927156,0.372,0.066,8.038012008511807e-286,T cells,ICAM3
1.3159166889156148e-104,3.0410478150259883,0.125,0.019,5.507111343111848e-100,T cells,TRG-AS1
0,3.03240205837578,0.311,0.037,0,T cells,CD247
2.907905683821032e-58,3.0170877977950536,0.188,0.064,1.216958528679102e-53,T cells,DUSP4
5.114502983467293e-60,3.012539766481236,0.161,0.048,2.1404194985810624e-55,T cells,SH2D2A
0,3.006415677634424,0.673,0.173,0,T cells,CORO1A
8.993842340476383e-208,3.005185738769052,0.245,0.038,3.763923019489366e-203,T cells,SYTL3
7.309463632892609e-97,2.9990366189485593,0.134,0.024,3.059010530365557e-92,T cells,AC243960.1
3.332473527823859e-186,2.977183059135416,0.284,0.056,1.394640171394285e-181,T cells,KLRB1
8.034891209288384e-111,2.9761712528832525,0.138,0.022,3.3626019710871886e-106,T cells,RASGRP1
0,2.967652170108614,0.529,0.099,0,T cells,RAC2
3.4587202890559734e-110,2.959536092448893,0.159,0.029,1.4474744409699248e-105,T cells,MYO1G
1.0838833186208802e-134,2.94517377706089,0.205,0.04,4.5360516884283835e-130,T cells,PBXIP1
3.251831162429394e-124,2.9349800910358734,0.15,0.023,1.3608913414767014e-119,T cells,IKZF3
0,2.9338420401299343,0.523,0.12,0,T cells,STK17B
1.386466218616323e-303,2.9307418891367765,0.435,0.087,5.802361124909311e-299,T cells,CLEC2B
1.3090122643567147e-277,2.9301256499887636,0.434,0.094,5.478216326332851e-273,T cells,STK17A
4.211878886822212e-274,2.923275171331672,0.356,0.062,1.762671314135096e-269,T cells,ETS1
4.563842912968822e-142,2.9213750191688153,0.192,0.034,1.909968259077452e-137,T cells,ARHGAP30
5.6037394950640896e-70,2.9165571257740477,0.149,0.037,2.3451649786843216e-65,T cells,AC016831.5
1.4345942883394078e-145,2.91244794330246,0.201,0.036,6.003777096700422e-141,T cells,TENT5C
1.1421583065660484e-101,2.9104329684553853,0.12,0.018,4.779932512978912e-97,T cells,PSTPIP1
1.0007922795203103e-134,2.8610904977870533,0.333,0.099,4.1883156897924986e-130,T cells,CCL4
1.6835239190638226e-180,2.8547223707428477,0.28,0.057,7.045547601282098e-176,T cells,ITGA4
9.285281089807026e-141,2.84644822802421,0.244,0.054,3.88589013608424e-136,T cells,EMB
2.8749429913994773e-152,2.8406797451905295,0.29,0.071,1.2031636419006813e-147,T cells,RHOF
0,2.833273150251788,0.592,0.128,0,T cells,GMFG
2.6340341897152566e-208,2.829226581132011,0.317,0.063,1.1023433083958349e-203,T cells,ADGRE5
2.495088905690464e-188,2.8274692950666975,0.575,0.265,1.0441947070314592e-183,T cells,LEPROTL1
6.9490251238970254e-217,2.821856507793335,0.352,0.075,2.908167014350905e-212,T cells,KLF2
4.706760244460164e-41,2.7905815083164907,0.221,0.104,1.9697791623065785e-36,T cells,LYAR
0,2.787325959820757,0.784,0.37,0,T cells,ZFP36L2
3.5367520517388374e-136,2.7823443039140168,0.247,0.056,1.4801307336527033e-131,T cells,APOBEC3G
2.2745937078949257e-106,2.7788018844308273,0.138,0.023,9.519174667540263e-102,T cells,TMC8
8.766144889449484e-212,2.777089641980708,0.332,0.069,3.668631636234609e-207,T cells,HLA-F
4.894083107265206e-164,2.7669011299003547,0.265,0.055,2.0481737803904887e-159,T cells,IKZF1
4.54428001940476e-119,2.7591085885001183,0.193,0.039,1.9017811881208922e-114,T cells,GBP2
1.9715776272769708e-116,2.748143554571947,0.147,0.024,8.251052370154123e-112,T cells,AQP3
0,2.7453641968466034,0.573,0.119,0,T cells,GPSM3
0,2.739176384666102,0.639,0.12,0,T cells,RGS1
9.582595263342602e-141,2.7370299436254273,0.256,0.059,4.010316117708879e-136,T cells,ARID5A
1.9511443263261568e-288,2.7361116644642345,0.396,0.074,8.165539005674966e-284,T cells,NKG7
2.1857476872457485e-193,2.734550625009195,0.232,0.036,9.147354071123458e-189,T cells,LEF1
2.7388942149466195e-92,2.7330139685118797,0.177,0.041,1.1462272289551603e-87,T cells,TNFRSF25
6.998704233014771e-150,2.7244851167539546,0.245,0.051,2.9289577215166814e-145,T cells,AKNA
7.888174234890772e-109,2.718771922529627,0.33,0.118,3.301200917301788e-104,T cells,BCL11B
6.012086638462136e-202,2.7157987770247765,0.291,0.055,2.516058258196404e-197,T cells,PTPN7
9.365118382457627e-116,2.7121953997758816,0.189,0.038,3.919302043058517e-111,T cells,ARHGAP9
3.373523541591411e-111,2.7095224959509485,0.141,0.023,1.4118196021560056e-106,T cells,SP140
0,2.707784037323317,0.635,0.162,0,T cells,FXYD5
2.560817128690438e-243,2.7035219355005675,0.602,0.224,1.0717019683569483e-238,T cells,STK4
2.2064553132466633e-49,2.7019325273027723,0.293,0.154,9.234015485937286e-45,T cells,CORO1B
1.2344499523816242e-295,2.6993551427466294,0.734,0.308,5.1661730507170976e-291,T cells,TSC22D3
8.941488850102136e-217,2.685502385320615,0.318,0.061,3.742013083767744e-212,T cells,CEMIP2
0,2.665665227918348,0.863,0.241,0,T cells,CXCR4
7.828133272921798e-282,2.665233222020417,0.472,0.108,3.2760737747177725e-277,T cells,SLC2A3
0,2.661405634190875,0.582,0.085,0,T cells,CD69
8.867768976317615e-56,2.6417987260269675,0.144,0.041,3.711161316588922e-51,T cells,APOBEC3C
6.239751707204945e-91,2.6370274853130016,0.164,0.036,2.6113360894652695e-86,T cells,SYTL1
4.2090085428038865e-64,2.63627802484898,0.139,0.035,1.7614700751634265e-59,T cells,APOL6
0,2.631059523220511,0.949,0.378,0,T cells,HLA-A
3.3034157901584557e-109,2.6279744966928105,0.219,0.053,1.3824795081813138e-104,T cells,OXNAD1
0,2.6207479350507907,0.534,0.114,0,T cells,DUSP2
4.078622096583292e-85,2.613368634488028,0.263,0.09,1.7069033474201077e-80,T cells,MCUB
1.1579971374348778e-117,2.60499383690829,0.217,0.049,4.846218020164964e-113,T cells,CARD16
2.4781163420313095e-127,2.6014712352613145,0.266,0.068,1.037091689140103e-122,T cells,TNFRSF1B
0,2.59503020682635,0.993,0.62,0,T cells,B2M
0,2.5925585032352503,0.835,0.23,0,T cells,HLA-E
9.645457230171693e-142,2.5866802779437053,0.234,0.049,4.0366238508268537e-137,T cells,TAGAP
0,2.57849719417315,0.882,0.452,0,T cells,SH3BGRL3
1.1151216107436739e-100,2.578416826289403,0.2,0.048,4.666783940962275e-96,T cells,IL10RA
