p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
0,3.278193353965211,0.896,0.154,0,T cells,CD52
0,4.129922473871644,0.767,0.048,0,T cells,CD3D
0,4.074779703628751,0.78,0.096,0,T cells,IL32
0,5.719981160370512,0.7,0.038,0,T cells,TRAC
0,3.075601892740397,0.829,0.175,0,T cells,ARHGDIB
0,3.6389895764789317,0.761,0.113,0,T cells,PTPRC
0,3.8433672814461945,0.7,0.067,0,T cells,TRBC2
0,2.2587654126419947,0.807,0.185,0,T cells,SRGN
0,2.665665227918348,0.863,0.241,0,T cells,CXCR4
0,2.3334684265794454,0.946,0.325,0,T cells,HLA-B
0,2.465198936481212,0.921,0.311,0,T cells,HLA-C
0,2.5925585032352503,0.835,0.23,0,T cells,HLA-E
0,4.545793856864602,0.643,0.04,0,T cells,CD3E
0,3.54251167836445,0.734,0.138,0,T cells,LTB
0,3.2085151484380603,0.68,0.105,0,T cells,HCST
0,2.631059523220511,0.949,0.378,0,T cells,HLA-A
0,4.872052448629484,0.596,0.034,0,T cells,CD2
0,3.097619868043775,0.701,0.157,0,T cells,S100A4
0,3.1512487090120613,0.595,0.071,0,T cells,CD7
0,2.739176384666102,0.639,0.12,0,T cells,RGS1
0,2.3030979178304274,0.663,0.146,0,T cells,LAPTM5
0,3.2385034420689176,0.603,0.093,0,T cells,TNFAIP3
0,3.006415677634424,0.673,0.173,0,T cells,CORO1A
0,2.661405634190875,0.582,0.085,0,T cells,CD69
0,4.493402140533167,0.532,0.039,0,T cells,IL7R
0,3.5682557028937794,0.568,0.077,0,T cells,CYTIP
0,1.643691955076137,0.617,0.142,0,T cells,CD37
0,4.126485570288909,0.55,0.077,0,T cells,CCL5
0,2.707784037323317,0.635,0.162,0,T cells,FXYD5
0,3.1087007834186107,0.578,0.109,0,T cells,GYPC
0,3.5363074291733745,0.538,0.071,0,T cells,FYB1
0,2.833273150251788,0.592,0.128,0,T cells,GMFG
0,4.18080884749461,0.5,0.038,0,T cells,LCK
0,4.05351885304775,0.487,0.025,0,T cells,CD3G
0,2.7453641968466034,0.573,0.119,0,T cells,GPSM3
0,3.829415715528861,0.484,0.05,0,T cells,TRBC1
0,3.126647632925629,0.508,0.075,0,T cells,RHOH
0,2.967652170108614,0.529,0.099,0,T cells,RAC2
0,2.57849719417315,0.882,0.452,0,T cells,SH3BGRL3
0,3.096360991080079,0.51,0.08,0,T cells,CD48
0,3.3025499124245243,0.5,0.075,0,T cells,ACAP1
0,2.6207479350507907,0.534,0.114,0,T cells,DUSP2
0,2.500601598720136,0.519,0.103,0,T cells,ISG20
0,2.787325959820757,0.784,0.37,0,T cells,ZFP36L2
0,2.1581907253723918,0.883,0.475,0,T cells,JUNB
0,4.50141750683003,0.429,0.022,0,T cells,GZMM
0,3.588732845153701,0.466,0.061,0,T cells,PLAAT4
