gene group
A2M MES
ABRACL MES
ACADVL MES
ACAP2 MES
ACTA2 MES
ACTN1 MES
ADAM19 MES
ADAM9 MES
ADAMTS5 MES
AEBP1 MES
AJUBA MES
ALDH1A3 MES
AMMECR1 MES
ANTXR1 MES
ANXA1 MES
ANXA2 MES
ANXA5 MES
ANXA6 MES
APOE MES
APP MES
ARHGAP1 MES
ARHGEF40 MES
ARL1 MES
ARL4A MES
ARMCX2 MES
ARPC1B MES
ASPH MES
ATP10D MES
ATP1B1 MES
ATP2B1 MES
ATP2B4 MES
ATP6V0E1 MES
ATP8B2 MES
ATXN1 MES
B2M MES
BAG3 MES
BGN MES
BMP5 MES
BNC2 MES
BOC MES
BTN3A2 MES
C1orf198 MES
C1orf54 MES
C4orf32 MES
C6orf120 MES
CALD1 MES
CALU MES
CAPN2 MES
CBFB MES
CBLB MES
CCDC80 MES
CD164 MES
CD44 MES
CD59 MES
CD63 MES
CDH11 MES
CETN2 MES
CFH MES
CFI MES
CILP MES
CKAP4 MES
CLIC4 MES
CMTM3 MES
CMTM6 MES
CNN3 MES
COL11A1 MES
COL12A1 MES
COL1A1 MES
COL27A1 MES
COL3A1 MES
COL4A1 MES
COL4A2 MES
COL5A1 MES
COL5A2 MES
COL6A1 MES
COL6A2 MES
COL6A3 MES
COPA MES
CPED1 MES
CPS1 MES
CRABP2 MES
CREB3L2 MES
CREG1 MES
CRELD2 MES
CRISPLD1 MES
CRTAP MES
CSRP1 MES
CTDSP2 MES
CTNNA1 MES
CTSB MES
CTSC MES
CTSO MES
CXCL12 MES
CYBRD1 MES
CYFIP1 MES
CYP26A1 MES
CYR61 MES
DCAF6 MES
DDOST MES
DDR2 MES
DESI2 MES
DKK3 MES
DLC1 MES
DMD MES
DNAJC1 MES
DNAJC10 MES
DNAJC3 MES
DNM3OS MES
DPY19L1 MES
DSE MES
DUSP14 MES
DUSP5 MES
DUSP6 MES
EDEM1 MES
EDNRA MES
EFEMP2 MES
EGFR MES
EGR1 MES
EGR3 MES
EHD2 MES
ELAVL1 MES
ELF1 MES
ELK3 MES
ELK4 MES
EMILIN1 MES
EMP1 MES
ENAH MES
EPHA3 MES
EPS8 MES
ERLIN1 MES
ERRFI1 MES
ETS1 MES
EVA1A MES
EXT1 MES
EXTL2 MES
F2R MES
F2RL2 MES
FAM102B MES
FAM114A1 MES
FAM120A MES
FAM129A MES
FAM3C MES
FAM43A MES
FAM46A MES
FAT1 MES
FBN1 MES
FBN2 MES
FGFR1 MES
FIBIN MES
FILIP1L MES
FKBP14 MES
FLNA MES
FLRT2 MES
FMOD MES
FN1 MES
FNDC3B MES
FSTL1 MES
FUCA2 MES
FZD1 MES
FZD2 MES
FZD7 MES
GABRR1 MES
GALNT10 MES
GAS1 MES
GAS2 MES
GDF15 MES
GJA1 MES
GNAI1 MES
GNG12 MES
GNS MES
GORAB MES
GPC6 MES
GPR137B MES
GPX8 MES
GRN MES
GSN MES
HES1 MES
HEXB MES
HIBADH MES
HIPK3 MES
HIST1H2AC MES
HIST1H2BK MES
HLA-A MES
HLA-B MES
HLA-C MES
HLA-F MES
HLX MES
HNMT MES
HOMER1 MES
HS3ST3A1 MES
HSP90B1 MES
HSPA5 MES
HSPB1 MES
HTRA1 MES
HYOU1 MES
ID1 MES
ID3 MES
IFI16 MES
IFITM2 MES
IFITM3 MES
IGF2R MES
IGFBP5 MES
IGFBP6 MES
IL13RA1 MES
IL6ST MES
INSIG1 MES
IQGAP2 MES
ITGA10 MES
ITGA4 MES
ITGAV MES
ITGB1 MES
ITM2B MES
ITM2C MES
ITPR1 MES
ITPRIPL2 MES
JAK1 MES
JAM3 MES
KANK2 MES
KCNK2 MES
KCTD12 MES
KDELC2 MES
KDELR2 MES
KDELR3 MES
KDM5B MES
KIAA1462 MES
KIF13A MES
KIRREL MES
KLF10 MES
KLF4 MES
KLF6 MES
L3HYPDH MES
LAMB1 MES
LAMC1 MES
LAMP1 MES
LAPTM4A MES
LASP1 MES
LATS2 MES
LEPROT MES
LGALS1 MES
LHFP MES
LHX8 MES
LIFR MES
LIPA MES
LITAF MES
LIX1L MES
LMAN1 MES
LMNA MES
LOXL2 MES
LPP MES
LRP10 MES
LRRC17 MES
LRRC8C MES
LTBP1 MES
LUZP1 MES
MAGT1 MES
MAML2 MES
MAN2A1 MES
MANF MES
MBD2 MES
MBNL1 MES
MBTPS1 MES
MEOX1 MES
MEOX2 MES
MEST MES
MGAT2 MES
MGP MES
MGST1 MES
MICAL2 MES
MMP2 MES
MOB1A MES
MRC2 MES
MXRA5 MES
MYADM MES
MYDGF MES
MYL12A MES
MYL12B MES
MYLIP MES
NANS MES
NBR1 MES
NEK7 MES
NES MES
NFIA MES
NFIC MES
NID1 MES
NID2 MES
NOTCH2 MES
NPC2 MES
NPTN MES
NQO1 MES
NR3C1 MES
NRP1 MES
OGFRL1 MES
OLFML2A MES
OLFML2B MES
OLFML3 MES
OSTC MES
P4HA1 MES
PALLD MES
PAPSS2 MES
PCDH18 MES
PCOLCE2 MES
PCSK5 MES
PDE3A MES
PDE7B MES
PDGFC MES
PDIA3 MES
PDIA4 MES
PDIA6 MES
PDLIM1 MES
PEA15 MES
PEAK1 MES
PHLDA3 MES
PHLDB2 MES
PHTF2 MES
PIAS3 MES
PLAGL1 MES
PLEKHA2 MES
PLEKHH2 MES
PLK2 MES
PLOD2 MES
PLOD3 MES
PLS3 MES
PLSCR1 MES
PLSCR4 MES
PLXDC2 MES
POLR2L MES
PON2 MES
POSTN MES
PPIB MES
PPIC MES
PPT1 MES
PRCP MES
PRDM6 MES
PRDX4 MES
PRDX6 MES
PROM1 MES
PRRX1 MES
PTBP1 MES
PTGER4 MES
PTGFRN MES
PTN MES
PTPN14 MES
PTPRG MES
PTPRK MES
PTRF MES
PXDC1 MES
PXDN MES
PYGL MES
QKI MES
QSOX1 MES
RAB13 MES
RAB29 MES
RAB31 MES
RAP1A MES
RAP1B MES
RBMS1 MES
RCN1 MES
RECK MES
REST MES
RGL1 MES
RGS10 MES
RGS3 MES
RHOC MES
RHOJ MES
RIN2 MES
RIT1 MES
RNFT1 MES
RNH1 MES
ROBO1 MES
ROR1 MES
RRBP1 MES
S1PR3 MES
SASH1 MES
SCPEP1 MES
SCRG1 MES
SDC2 MES
SDC4 MES
